,Number of Splits,Trial,Distance,Average
0,2,0,1506.7575993407518,FL-mean (new)
1,2,0,2461.243748230161,FL-mean (base)
2,2,0,1767.424103342113,GR-mean
3,2,0,92489.16034059401,Euclidean-mean
0,2,1,563.1366917644627,FL-mean (new)
1,2,1,595.1467712725862,FL-mean (base)
2,2,1,451.5916375408415,GR-mean
3,2,1,103754.06814031501,Euclidean-mean
0,2,2,323.51960036181845,FL-mean (new)
1,2,2,324.61050379642984,FL-mean (base)
2,2,2,331.4239287660457,GR-mean
3,2,2,324.599186357751,Euclidean-mean
0,2,3,521.6257680177805,FL-mean (new)
1,2,3,549.3968633826589,FL-mean (base)
2,2,3,520.2205045027658,GR-mean
3,2,3,251432.57878349198,Euclidean-mean
0,2,4,762.580847138539,FL-mean (new)
1,2,4,761.0910241405945,FL-mean (base)
2,2,4,773.4874707572744,GR-mean
3,2,4,325368.34705969447,Euclidean-mean
0,2,5,1649.2167058634805,FL-mean (new)
1,2,5,1664.9251131087658,FL-mean (base)
2,2,5,1665.3762089619413,GR-mean
3,2,5,269957.44054529525,Euclidean-mean
0,2,6,942.34107364394,FL-mean (new)
1,2,6,943.7337036487297,FL-mean (base)
2,2,6,853.5845275261672,GR-mean
3,2,6,938.6855393750011,Euclidean-mean
0,2,7,380.6527494774782,FL-mean (new)
1,2,7,687.921099567553,FL-mean (base)
2,2,7,371.5260783698759,GR-mean
3,2,7,687.9305227376753,Euclidean-mean
0,2,8,460.41534180840245,FL-mean (new)
1,2,8,542.566954970418,FL-mean (base)
2,2,8,456.65977598936297,GR-mean
3,2,8,542.398392733885,Euclidean-mean
0,2,9,378.7054825696978,FL-mean (new)
1,2,9,413.1098184839939,FL-mean (base)
2,2,9,354.60653796757106,GR-mean
3,2,9,412.51075408712495,Euclidean-mean
0,2,10,738.7840173311997,FL-mean (new)
1,2,10,872.8968262851704,FL-mean (base)
2,2,10,790.0217545338674,GR-mean
3,2,10,113916.46577524138,Euclidean-mean
0,2,11,1401.2770907959784,FL-mean (new)
1,2,11,1462.4363856741693,FL-mean (base)
2,2,11,1439.8680656271172,GR-mean
3,2,11,122979.28276542958,Euclidean-mean
0,2,12,464.21411375526804,FL-mean (new)
1,2,12,593.1308143767528,FL-mean (base)
2,2,12,465.4009919241071,GR-mean
3,2,12,592.9933577950578,Euclidean-mean
0,2,13,720.0724096897757,FL-mean (new)
1,2,13,770.4945346998284,FL-mean (base)
2,2,13,732.3702672719955,GR-mean
3,2,13,770.5346085684141,Euclidean-mean
0,2,14,417.1652925799135,FL-mean (new)
1,2,14,499.0546551293228,FL-mean (base)
2,2,14,425.18255726399366,GR-mean
3,2,14,189011.82871023065,Euclidean-mean
0,2,15,825.7903462055256,FL-mean (new)
1,2,15,1669.8026804990368,FL-mean (base)
2,2,15,775.3358860924491,GR-mean
3,2,15,113859.2712626555,Euclidean-mean
0,2,16,352.0032993836794,FL-mean (new)
1,2,16,364.6887705649715,FL-mean (base)
2,2,16,359.2392464208533,GR-mean
3,2,16,305795.7763119169,Euclidean-mean
0,2,17,1004.472398844955,FL-mean (new)
1,2,17,1230.4335281575914,FL-mean (base)
2,2,17,1122.279465477157,GR-mean
3,2,17,105261.05267143098,Euclidean-mean
0,2,18,2230.7557385801338,FL-mean (new)
1,2,18,2297.26017994195,FL-mean (base)
2,2,18,2539.9966159712058,GR-mean
3,2,18,171327.32749679324,Euclidean-mean
0,2,19,656.6966324355453,FL-mean (new)
1,2,19,677.486060871277,FL-mean (base)
2,2,19,772.2973066626582,GR-mean
3,2,19,682.1509787954856,Euclidean-mean
